variant,seed,train_task,in_task_acc,in_task_ci_low,in_task_ci_high,zero_shot_acc,zero_shot_ci_low,zero_shot_ci_high,fewshot_n,fewshot_acc,fewshot_ci_low,fewshot_ci_high,fewshot_correct,fewshot_total,sel_loc_gap_obc,sel_loc_gap_pbc,delta_sel_loc,pr_diff,pr_diff_ci_low,pr_diff_ci_high,mass_diff,mass_diff_ci_low,mass_diff_ci_high,gamma,zero_rate_B0,rho_median,scale_flag
mechanism,0,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5342,0.5244116872061739,0.543962046340347,5342,10000,-6.96310265759967e-05,-5.364196477380344e-05,-1.598906180219326e-05,-0.0014895468556784667,-0.0056657692004451025,0.0022219236894794646,0.00023521690745364793,-5.8079014964948765e-05,0.0005259911259486057,1.8419983500661725,0.0,1.839900633248419,True
symmetric_control_v2_normmatched,0,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5256,0.5158048972012015,0.5353754413599368,5256,10000,0.00041350298891463437,0.0005115379783825226,-9.803498946788822e-05,-0.007537350832988808,-0.017559495875013747,0.002434890218175576,-0.00019392578162808407,-0.0007622864770474696,0.00035389195064903703,0.26354702181716444,0.0,1.000346577222483,False
mechanism,1,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5517,0.5419345275140575,0.5614257655957413,5517,10000,-0.0004345195710103264,-0.0005147764058226187,8.025683481229233e-05,0.026847892045274813,-0.01216621726828263,0.06507209985732916,-0.00016315677943952317,-0.0011242719603475058,0.0007868754298690792,2.5955249408428163,0.0,2.591940502446735,True
symmetric_control_v2_normmatched,1,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.594,0.5843404269376837,0.603587378716496,5940,10000,-5.460468957841687e-06,-9.3789848794739e-06,3.9185159216322155e-06,-0.035776755282912194,-0.0671574966431346,-0.0045863945996875875,-0.0003439960902552316,-0.001130374924850886,0.00044601302895849856,0.5236966565754048,0.0,0.999500841325525,False
no_injection,1,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5701,0.560371699229196,0.5797744622214211,5701,10000,0.0,0.0,0.0,0.04462003852338771,-0.024366553096685468,0.11458630562556142,0.0003681710633883977,-0.0010973796341871346,0.0018305895308023577,1.0,1.0,1.0,False
no_injection,0,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5388,0.5290165162988367,0.5485536843328884,5388,10000,0.0,0.0,0.0,0.007463719930667817,-0.015838538307589693,0.03044995053985737,0.00041581250347705263,-0.0004936006171200686,0.0013278181091282162,1.0,1.0,1.0,False
no_injection,2,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5506,0.5408327339875104,0.5603284039497395,5506,10000,0.0,0.0,0.0,0.038201514475667685,0.004097235714255785,0.07279002661574739,0.001470432845350967,0.00018034401404070825,0.0027411783908643256,1.0,1.0,1.0,False
mechanism,2,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5238,0.5140038444642084,0.5335778765418498,5238,10000,0.00017325207154344916,0.00019183880624515216,-1.8586734701702994e-05,-0.011628270667095474,-0.044915793078515925,0.022159921597580665,-0.00035123108352696884,-0.0011523394258223232,0.0004549033384162781,2.4209099521405912,0.0,2.41618669427908,True
symmetric_control_v2_normmatched,2,conclusion,1.0,0.9996159875222334,0.9999999999999999,0.5,0.49020188184182106,0.5097981181581789,512,0.5056,0.4958003456931846,0.5153953533670645,5056,10000,0.0002401511166131975,0.0002915380458939664,-5.138692928076888e-05,0.000797810650953221,-0.020067274089150176,0.021622595782104025,0.000911451675320459,-0.0004578673476079985,0.0023145391852349437,0.3303871981863506,0.0,0.9991676906598523,False
